sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
42,42,B,7,0.73262,0.7218981173444687,0.346,0.0126640292340517,0.8697701079439699,80000,0.6931250303236136,0.7143,0.4451444130051786,0.4169,0.4166666666666667,0.346,0.7516082916368835,0.8412,0.8209432824746092,0.8851,0.5667321178120617,0.5051,0.865929648241206,0.8616,0.9641845909294123,0.9705,0.7711809716972434,0.8365,0.9234661606578115,0.949,grassland
42,42,C,7,0.5948,0.5762403495075272,0.1583,0.013675871792435637,4.335025551862239,10000,0.62050508491071,0.6376,0.3211718878586712,0.2927,0.21717656743037453,0.1583,0.6298519774529123,0.6872,0.7416852429781543,0.8318,0.43133863714977516,0.3741,0.788329686360321,0.8106,0.7547873412618423,0.7489,0.5669913618820069,0.617,0.6905657077905045,0.7898,grassland
42,42,D,7,0.64184,0.6241539266205504,0.1827,0.024992618337571618,2.029403935713507,80000,0.6472808205922198,0.6689,0.364427003234873,0.3436,0.24853761393007753,0.1827,0.6756832910679065,0.7194,0.7667422121494912,0.8627,0.463475499092559,0.4086,0.8075204948210691,0.8225,0.8566426570628252,0.8563,0.6263341921236658,0.6807,0.784895482130816,0.873,grassland
42,42,A,8,0.66154,0.6516063123601576,0.2785,0.013975487624704842,1.1578191630968986,10000,0.6454787367575439,0.6428,0.392810897601906,0.3792,0.3374326043496698,0.2785,0.6891080027516625,0.7513,0.7701128503822352,0.8462,0.48817345597897505,0.4458,0.8157668370186713,0.8061,0.8886757207048014,0.8801,0.6623985154256553,0.7139,0.8261055026304565,0.8715,grassland
42,42,B,8,0.73225,0.7214592077089395,0.3137,0.013915760336816314,0.8783024344323975,90000,0.6950527962456003,0.7109,0.46603460072329195,0.4768,0.40639979271926413,0.3137,0.7541028322043916,0.8294,0.8129831381944759,0.8992,0.5581581810892847,0.4873,0.8606962689176365,0.8616,0.962705467547301,0.9693,0.7730152124658991,0.8359,0.9254437869822485,0.9384,grassland
42,42,C,8,0.59015,0.5716027410224613,0.1609,0.015396822560727592,3.8870943422605557,10000,0.6174522789248149,0.634,0.31902995404462653,0.2881,0.2195088676671214,0.1609,0.6234522942461762,0.6848,0.7401967329861575,0.8315,0.4255045334893244,0.3637,0.7856517935258093,0.8082,0.7474828836085381,0.7424,0.560935651224174,0.6163,0.6768124205078725,0.7716,grassland
42,42,D,8,0.64334,0.6240571030514797,0.1692,0.030313780789077278,2.1204330587129534,90000,0.6492773370966957,0.6671,0.3682826795667263,0.3502,0.23727387463188893,0.1692,0.6776075857038658,0.7432,0.7675479385323944,0.8666,0.4598193608151922,0.3971,0.8063067460704871,0.8259,0.861359615870609,0.8521,0.6296227639262212,0.6793,0.7834731283007145,0.8827,grassland
42,42,A,9,0.64932,0.640522435542212,0.2888,0.009899814474880699,1.058917998345175,10000,0.6524808591031123,0.6562,0.37658556872530674,0.3622,0.32522522522522523,0.2888,0.6766839378238342,0.7183,0.7697416974169742,0.8344,0.47371396269078575,0.419,0.8085611190746873,0.8179,0.866679892867771,0.8737,0.6435858681277159,0.6813,0.8119662243667068,0.8414,grassland
42,42,B,9,0.7377,0.7283866713774312,0.3565,0.010739101800918572,0.8660873399879973,100000,0.6933214427269124,0.6997,0.46510685708497923,0.4592,0.4318856381367739,0.3565,0.7595812471552117,0.8344,0.8226233007005985,0.8865,0.5683128037066335,0.5029,0.8654917451635774,0.8545,0.9668411867364747,0.9695,0.7793743179337941,0.857,0.9313281744293571,0.9568,grassland
42,42,C,9,0.58618,0.5671168942546918,0.1535,0.017446783547252438,3.7517314013657757,10000,0.6135119280406727,0.6275,0.32517749863462586,0.2977,0.21241264789317096,0.1535,0.6231105445274084,0.6843,0.7363157661843445,0.832,0.4142314088857211,0.3487,0.7840931134820562,0.8084,0.7380472059713536,0.7317,0.5551614370168259,0.6104,0.6691073919107392,0.7676,grassland
