sampling_seed,arm,gen,class,recall,precision,f1
42,B,8,moss_lichen,0.9384,0.91284046692607,0.9254437869822485
42,B,9,tree_cover,0.6997,0.6870581304006285,0.6933214427269124
42,B,9,shrubland,0.4592,0.471167658526575,0.46510685708497923
42,B,9,grassland,0.3565,0.5477031802120141,0.43188563813677394
42,B,9,cropland,0.8344,0.6970760233918128,0.7595812471552117
42,B,9,built_up,0.8865,0.7673331602181251,0.8226233007005985
42,B,9,bare_sparse_vegetation,0.5029,0.6532865679397246,0.5683128037066335
42,B,9,permanent_water,0.8545,0.876769956905397,0.8654917451635774
42,B,9,snow_and_ice,0.9695,0.9641969169567379,0.9668411867364747
42,B,9,herbaceous_wetland,0.857,0.7146430953969313,0.7793743179337942
42,B,9,moss_lichen,0.9568,0.9071773964160424,0.931328174429357
42,C,0,tree_cover,0.6804,0.6284869757990024,0.6534140017286085
42,C,0,shrubland,0.3167,0.39562773266708307,0.351791169119689
42,C,0,grassland,0.2054,0.37708830548926014,0.2659416067844889
42,C,0,cropland,0.7203,0.6474024806758943,0.6819085487077535
42,C,0,built_up,0.8552,0.7109485410258541,0.7764310681374551
42,C,0,bare_sparse_vegetation,0.4217,0.5260072346264189,0.46811344840983515
42,C,0,permanent_water,0.8304,0.7853967653456918,0.807271666747679
42,C,0,snow_and_ice,0.8702,0.8474048105949946,0.8586511421382407
42,C,0,herbaceous_wetland,0.6927,0.5940313866735272,0.6395826600803288
42,C,0,moss_lichen,0.8773,0.728231094878393,0.795845239715154
42,C,1,tree_cover,0.6762,0.6133333333333333,0.6432342449464922
42,C,1,shrubland,0.3039,0.38444022770398484,0.3394582518849483
42,C,1,grassland,0.1808,0.35972940708316753,0.24064954079595366
42,C,1,cropland,0.7124,0.6279971791255289,0.6675412293853074
42,C,1,built_up,0.846,0.6912329438679631,0.7608255766895993
42,C,1,bare_sparse_vegetation,0.4051,0.5130445795339412,0.4527268663388467
42,C,1,permanent_water,0.8231,0.7730090157776108,0.79726850058117
42,C,1,snow_and_ice,0.8361,0.8171422986708365,0.8265124555160142
42,C,1,herbaceous_wetland,0.6661,0.564109078590786,0.610876742479824
42,C,1,moss_lichen,0.8344,0.7025343100109456,0.7628102573478996
42,C,2,tree_cover,0.6661,0.6146535018916675,0.6393434755483034
42,C,2,shrubland,0.2976,0.38390092879256965,0.33528616493916175
42,C,2,grassland,0.1754,0.3639004149377593,0.23670715249662613
42,C,2,cropland,0.7096,0.6119879258300992,0.6571891641583699
42,C,2,built_up,0.8447,0.681979654448571,0.7546680961315108
42,C,2,bare_sparse_vegetation,0.401,0.5083671399594321,0.44834525939177106
42,C,2,permanent_water,0.8184,0.7761024182076813,0.7966901922608908
42,C,2,snow_and_ice,0.8227,0.8060944542426024,0.814312580421657
42,C,2,herbaceous_wetland,0.6577,0.5542260048875032,0.601545708144693
42,C,2,moss_lichen,0.8283,0.6843192333113021,0.7494571118349619
42,C,3,tree_cover,0.6583,0.6145444361463779,0.6356701429123214
42,C,3,shrubland,0.2928,0.3778552071234998,0.3299340807932841
42,C,3,grassland,0.1797,0.36613691931540343,0.24107861550845183
42,C,3,cropland,0.7067,0.6091191173935528,0.6542912693269141
42,C,3,built_up,0.8442,0.6787810565248854,0.7525070196550341
42,C,3,bare_sparse_vegetation,0.395,0.5111945127475087,0.4456478817622835
42,C,3,permanent_water,0.8147,0.7750190258751902,0.7943642745709829
42,C,3,snow_and_ice,0.8125,0.7964905401431233,0.8044156229889609
42,C,3,herbaceous_wetland,0.6533,0.5451890177751815,0.594368375562935
42,C,3,moss_lichen,0.8208,0.6745007806721999,0.7404934818891244
42,C,4,tree_cover,0.6454,0.6158984635938544,0.6303042140729527
42,C,4,shrubland,0.3014,0.37122798374184013,0.3326894420221867
42,C,4,grassland,0.1674,0.35556499575191164,0.22763122110416104
42,C,4,cropland,0.7033,0.5925021061499579,0.6431641518061272
42,C,4,built_up,0.8387,0.6788344799676245,0.7503466785953926
42,C,4,bare_sparse_vegetation,0.3909,0.5130594566216039,0.4437255235824962
42,C,4,permanent_water,0.8156,0.7751378065006653,0.794854302699542
42,C,4,snow_and_ice,0.7957,0.783323488875763,0.7894632404008335
42,C,4,herbaceous_wetland,0.6321,0.5397489539748954,0.5822854774077657
42,C,4,moss_lichen,0.8098,0.6499719078577735,0.7211362928002139
42,C,5,tree_cover,0.6443,0.6105372879749834,0.6269644334160464
42,C,5,shrubland,0.2942,0.36587489118268873,0.3261460007760102
42,C,5,grassland,0.1707,0.3512345679012346,0.22974427994616417
42,C,5,cropland,0.6896,0.5841097746908351,0.6324864716133173
42,C,5,built_up,0.8313,0.6744827586206896,0.7447256438969764
42,C,5,bare_sparse_vegetation,0.3776,0.5063019576293912,0.4325810516668576
42,C,5,permanent_water,0.8121,0.7685246522191729,0.7897116740409394
42,C,5,snow_and_ice,0.7616,0.7805677974787332,0.7709672521131751
42,C,5,herbaceous_wetland,0.6274,0.528693014241173,0.5738327159646955
42,C,5,moss_lichen,0.805,0.6305812313958954,0.7071949398225426
42,C,6,tree_cover,0.64,0.6098141972367794,0.6245425713588679
42,C,6,shrubland,0.2922,0.36334245212633676,0.323910874625873
42,C,6,grassland,0.1623,0.35623353819139597,0.2230008244023083
42,C,6,cropland,0.6926,0.5765900765900766,0.6292931128475376
42,C,6,built_up,0.8313,0.6679791080755323,0.7407440409890844
42,C,6,bare_sparse_vegetation,0.3779,0.5064325917984455,0.4328255640820066
42,C,6,permanent_water,0.8099,0.7695743063473964,0.7892223738062756
42,C,6,snow_and_ice,0.7497,0.7686865579821593,0.7590745709512479
42,C,6,herbaceous_wetland,0.6207,0.5253936008125952,0.5690840744476025
42,C,6,moss_lichen,0.7982,0.6189036209971311,0.6972092413853344
42,C,7,tree_cover,0.6376,0.6043029096768079,0.62050508491071
42,C,7,shrubland,0.2927,0.3557797496049593,0.32117188785867123
42,C,7,grassland,0.1583,0.3457841852337265,0.2171765674303745
42,C,7,cropland,0.6872,0.5813382962524322,0.6298519774529123
42,C,7,built_up,0.8318,0.6691874497184231,0.7416852429781541
42,C,7,bare_sparse_vegetation,0.3741,0.5092567383610128,0.4313386371497752
42,C,7,permanent_water,0.8106,0.767250354945575,0.7883296863603211
42,C,7,snow_and_ice,0.7489,0.7607679804957335,0.7547873412618424
42,C,7,herbaceous_wetland,0.617,0.5244814688881333,0.5669913618820069
42,C,7,moss_lichen,0.7898,0.613484542488737,0.6905657077905045
42,C,8,tree_cover,0.634,0.6017463933181473,0.6174522789248149
42,C,8,shrubland,0.2881,0.35739982632427736,0.31902995404462653
42,C,8,grassland,0.1609,0.34527896995708157,0.2195088676671214
42,C,8,cropland,0.6848,0.5721925133689839,0.6234522942461762
42,C,8,built_up,0.8315,0.6669607764498275,0.7401967329861574
42,C,8,bare_sparse_vegetation,0.3637,0.5126145172656801,0.4255045334893244
42,C,8,permanent_water,0.8082,0.7643275959901645,0.7856517935258093
42,C,8,snow_and_ice,0.7424,0.7526358475263585,0.747482883608538
42,C,8,herbaceous_wetland,0.6163,0.5146985134457992,0.560935651224174
