scale,sampling_seed,arm,gen,train_size,overall_accuracy,macro_f1,ece,temperature,worst_recall
S2,123,C,5,3000,0.5205666666666666,0.4966013475164842,0.0305264054030179,3.2293286241925228,0.1183333333333333
S2,123,D,5,18000,0.5590333333333334,0.5431533177718358,0.0436865005945166,2.264670310670388,0.1896666666666666
S2,123,A,6,3000,0.5626,0.5489144626091375,0.0222212673316399,0.9885140745463792,0.1703333333333333
S2,123,B,6,21000,0.6727,0.6598188498029194,0.0122180036465327,1.001423515087997,0.282
S2,123,C,6,3000,0.5157666666666667,0.4897700369914012,0.0359057781418164,3.5042028507853806,0.109
S2,123,D,6,21000,0.5511333333333334,0.5348288627835538,0.0347242144604523,2.1070549959307883,0.1796666666666666
S2,123,A,7,3000,0.5783333333333334,0.5671887995504656,0.0158141886025667,1.1457171457622188,0.198
S2,123,B,7,24000,0.6798,0.6688834249163513,0.0129476170778274,0.9871099816167248,0.2983333333333333
S2,123,C,7,3000,0.5150666666666667,0.4883304366469172,0.0391606049304207,4.235541597162468,0.1096666666666666
S2,123,D,7,24000,0.5587,0.54254668717477,0.0438570382510622,2.431657977876029,0.184
S2,123,A,8,3000,0.5601,0.5447578010189821,0.0148700317954023,1.0223000771826485,0.1576666666666666
S2,123,B,8,27000,0.6786,0.665499800229864,0.0117072289983431,0.9655318568149136,0.271
S2,123,C,8,3000,0.5133,0.4851007206021429,0.0420724545190731,4.387360485321926,0.0993333333333333
S2,123,D,8,27000,0.5579333333333333,0.5426041521292995,0.0426856154719988,2.516271782199765,0.197
S2,123,A,9,3000,0.5716333333333333,0.5568750645335206,0.0150819779530167,1.044400413273258,0.19
S2,123,B,9,30000,0.6888,0.6762703909358962,0.0134255994409322,0.943018785286353,0.28
S2,123,C,9,3000,0.5107,0.4803857233484616,0.0368145549312233,4.019819155566273,0.0773333333333333
S2,123,D,9,30000,0.5564333333333333,0.5401913167347556,0.0434407104278604,2.5644587477975542,0.1876666666666666
S2,256,A,0,3000,0.5620333333333334,0.545389764403113,0.0124945207034548,0.998414112563516,0.17
S2,256,B,0,3000,0.5620333333333334,0.545389764403113,0.0124945207034548,0.998414112563516,0.17
S2,256,C,0,3000,0.5620333333333334,0.545389764403113,0.0124945207034548,0.998414112563516,0.17
S2,256,D,0,3000,0.5620333333333334,0.545389764403113,0.0124945207034548,0.998414112563516,0.17
S2,256,A,1,3000,0.5819,0.5683587052838432,0.0111979016477862,1.2231818145226638,0.2116666666666666
S2,256,B,1,6000,0.6081,0.5938847232311201,0.0094771042967836,1.0739664710584622,0.2096666666666666
S2,256,C,1,3000,0.5475333333333333,0.5287405183003254,0.0166217256267865,3.045819291581369,0.138
S2,256,D,1,6000,0.5587,0.5404222545550678,0.0297515303989251,1.448696170217405,0.144
S2,256,A,2,3000,0.5535,0.5353826309519943,0.0167779455840587,0.9911892353107083,0.134
S2,256,B,2,9000,0.6309,0.618297662192209,0.0075418724164366,1.0540908105688511,0.2403333333333333
S2,256,C,2,3000,0.5427333333333333,0.5227991630628244,0.0211487495024998,3.631680502942351,0.1246666666666666
S2,256,D,2,9000,0.5627,0.5441753667620979,0.036811117872099,1.7690751697186116,0.145
S2,256,A,3,2991,0.5677333333333333,0.5506391496638287,0.0196656989107529,1.0942291351510824,0.1536666666666666
S2,256,B,3,11991,0.6418,0.6267818393241188,0.0100119367967049,1.0158239837101115,0.226
S2,256,C,3,2991,0.5395666666666666,0.5195555017314826,0.0222533106356859,3.643190401060446,0.121
S2,256,D,3,11991,0.5626,0.5435306521294141,0.0425838985453049,1.9875973993049296,0.1383333333333333
S2,256,A,4,2998,0.5806666666666667,0.5679594739968202,0.0169950829858581,1.1375508059658703,0.178
S2,256,B,4,14989,0.6572,0.6433776152348178,0.0107499598766366,1.0391700757253877,0.2483333333333333
S2,256,C,4,2998,0.5350333333333334,0.5135131163789344,0.0197625713442762,3.50085157179506,0.1073333333333333
S2,256,D,4,14989,0.5614333333333333,0.5426162093148985,0.0396228178605437,2.0955636257294006,0.1373333333333333
S2,256,A,5,3000,0.5734666666666667,0.5611947599048321,0.0167304029544194,1.098767953890449,0.176
S2,256,B,5,17989,0.6624333333333333,0.6492297182129048,0.0123739265769719,0.999239548280429,0.2526666666666666
S2,256,C,5,3000,0.5254666666666666,0.5025182604450571,0.0258189820508162,2.907941166206621,0.096
S2,256,D,5,17989,0.5586,0.5391035359132033,0.0397026388774315,2.190220919845647,0.1386666666666666
S2,256,A,6,3000,0.5676333333333333,0.5558116501096926,0.0150094995101292,0.9881425605857248,0.2006666666666666
S2,256,B,6,20989,0.6696333333333333,0.6559757003441494,0.0092164132128159,0.9941094009077496,0.2463333333333333
S2,256,C,6,3000,0.5209,0.497134998415336,0.0274316648537913,3.5988929678994093,0.0923333333333333
S2,256,D,6,20989,0.5589,0.5397264739543313,0.0440573618421951,2.3564800197334588,0.136
S2,256,A,7,3011,0.5683666666666667,0.5526859954862843,0.0120281509300072,1.0179844643135885,0.1653333333333333
S2,256,B,7,24000,0.6892666666666667,0.6763744188990708,0.011950614280502,1.0250606955434374,0.2826666666666667
S2,256,C,7,3011,0.5148,0.4898764286392263,0.0318218223626414,3.6270640347127303,0.092
S2,256,D,7,24000,0.5589,0.5398490472536883,0.042183802267909,2.4003085464448977,0.1343333333333333
S2,256,A,8,3000,0.5633666666666667,0.55074544316229,0.0168495990375677,1.0138072565967091,0.1983333333333333
S2,256,B,8,27000,0.6739,0.6598489653281989,0.0104164916068315,0.9433561816133108,0.2613333333333333
S2,256,C,8,3000,0.5119666666666667,0.4862137009725646,0.0310744386211037,3.909557506131864,0.0843333333333333
S2,256,D,8,27000,0.5584,0.5394986701495215,0.0388994381099939,2.448604683723317,0.134
S2,256,A,9,3000,0.5732333333333334,0.5582299872242541,0.012249995346864,1.0789117509533266,0.209
S2,256,B,9,30000,0.6840666666666667,0.6698175907363805,0.0102612877011299,0.9426707997090408,0.2533333333333333
S2,256,C,9,3000,0.5079666666666667,0.4801069505071213,0.0253875481307506,3.491698062554057,0.075
S2,256,D,9,30000,0.5597666666666666,0.5412341894393,0.0436166029011209,2.576734434707044,0.138
S3,42,A,0,5000,0.58586,0.5684526147314776,0.019075408399105,0.9593588269312536,0.1656
S3,42,B,0,5000,0.58586,0.5684526147314776,0.019075408399105,0.9593588269312536,0.1656
S3,42,C,0,5000,0.58586,0.5684526147314776,0.019075408399105,0.9593588269312536,0.1656
S3,42,D,0,5000,0.58586,0.5684526147314776,0.019075408399105,0.9593588269312536,0.1656
