sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
123,B,grassland,moss_lichen,0.0934000015258789,0.03759999945759773,-0.055800002068281174,attenuation
123,B,cropland,tree_cover,0.020400000736117363,0.013799999840557575,-0.006600000895559788,none
123,B,cropland,shrubland,0.057500001043081284,0.030500000342726707,-0.027000000700354576,attenuation
123,B,cropland,grassland,0.06870000064373016,0.04399999976158142,-0.024700000882148743,attenuation
123,B,cropland,built_up,0.049400001764297485,0.035100001841783524,-0.014299999922513962,none
123,B,cropland,bare_sparse_vegetation,0.032600000500679016,0.027300000190734863,-0.005300000309944153,none
123,B,cropland,permanent_water,0.0066999997943639755,0.004999999888241291,-0.0016999999061226845,none
123,B,cropland,snow_and_ice,0.0,0.0,0.0,none
123,B,cropland,herbaceous_wetland,0.03530000150203705,0.026000000536441803,-0.009300000965595245,none
123,B,cropland,moss_lichen,0.00139999995008111,0.00039999998989515007,-0.0009999999310821295,none
123,B,built_up,tree_cover,0.01850000023841858,0.01360000018030405,-0.004900000058114529,none
123,B,built_up,shrubland,0.015300000086426735,0.00839999970048666,-0.006900000385940075,none
123,B,built_up,grassland,0.012000000104308128,0.0066999997943639755,-0.005300000309944153,none
123,B,built_up,cropland,0.03700000047683716,0.039900001138448715,0.002900000661611557,none
123,B,built_up,bare_sparse_vegetation,0.04340000078082085,0.03970000147819519,-0.003699999302625656,none
123,B,built_up,permanent_water,0.00860000029206276,0.0035000001080334187,-0.005100000184029341,none
123,B,built_up,snow_and_ice,0.0006000000284984708,9.999999747378752e-05,-0.0005000000237487257,none
123,B,built_up,herbaceous_wetland,0.002199999988079071,0.00279999990016222,0.000599999912083149,none
123,B,built_up,moss_lichen,9.999999747378752e-05,0.0,-9.999999747378752e-05,none
123,B,bare_sparse_vegetation,tree_cover,0.03799999877810478,0.03240000084042549,-0.005599997937679291,none
123,B,bare_sparse_vegetation,shrubland,0.07999999821186066,0.06509999930858612,-0.014899998903274536,persistence
123,B,bare_sparse_vegetation,grassland,0.08100000023841858,0.07329999655485153,-0.007700003683567047,persistence
123,B,bare_sparse_vegetation,cropland,0.06539999693632126,0.07029999792575836,0.004900000989437103,persistence
123,B,bare_sparse_vegetation,built_up,0.14169999957084656,0.11900000274181366,-0.022699996829032898,attenuation
123,B,bare_sparse_vegetation,permanent_water,0.055799998342990875,0.047200001776218414,-0.008599996566772461,persistence
123,B,bare_sparse_vegetation,snow_and_ice,0.02630000002682209,0.009200000204145908,-0.017099998891353607,none
123,B,bare_sparse_vegetation,herbaceous_wetland,0.04039999842643738,0.04390000179409981,0.00350000336766243,none
123,B,bare_sparse_vegetation,moss_lichen,0.05260000005364418,0.029500000178813934,-0.023099999874830246,attenuation
123,B,permanent_water,tree_cover,0.016300000250339508,0.014499999582767487,-0.0018000006675720215,none
123,B,permanent_water,shrubland,0.007499999832361937,0.005200000014156103,-0.0022999998182058334,none
123,B,permanent_water,grassland,0.004800000227987766,0.0044999998062849045,-0.0003000004217028618,none
123,B,permanent_water,cropland,0.009600000455975533,0.010499999858438969,0.0008999994024634361,none
123,B,permanent_water,built_up,0.020600000396370888,0.012500000186264515,-0.008100000210106373,none
123,B,permanent_water,bare_sparse_vegetation,0.023900000378489494,0.01899999938905239,-0.004900000989437103,none
123,B,permanent_water,snow_and_ice,0.014499999582767487,0.00419999985024333,-0.01029999926686287,none
123,B,permanent_water,herbaceous_wetland,0.0689999982714653,0.05810000002384186,-0.010899998247623444,persistence
123,B,permanent_water,moss_lichen,0.003800000064074993,0.0031999999191612005,-0.0006000001449137926,none
123,B,snow_and_ice,tree_cover,0.0066999997943639755,0.002099999925121665,-0.004599999636411667,none
123,B,snow_and_ice,shrubland,0.013199999928474426,0.0034000000450760126,-0.009800000116229057,none
123,B,snow_and_ice,grassland,0.004600000102072954,0.0024999999441206455,-0.0021000001579523087,none
123,B,snow_and_ice,cropland,0.0003000000142492354,0.00039999998989515007,9.999997564591467e-05,none
123,B,snow_and_ice,built_up,0.00139999995008111,0.0008999999845400453,-0.0004999999655410647,none
123,B,snow_and_ice,bare_sparse_vegetation,0.0071000000461936,0.002899999963119626,-0.004200000315904617,none
123,B,snow_and_ice,permanent_water,0.018799999728798866,0.0031999999191612005,-0.015599999576807022,none
123,B,snow_and_ice,herbaceous_wetland,0.026900000870227814,0.007400000002235174,-0.019500000402331352,none
123,B,snow_and_ice,moss_lichen,0.06210000067949295,0.014999999664723873,-0.0471000000834465,attenuation
123,B,herbaceous_wetland,tree_cover,0.01730000041425228,0.00860000029206276,-0.008700000122189522,none
123,B,herbaceous_wetland,shrubland,0.05530000105500221,0.024700000882148743,-0.03060000017285347,attenuation
123,B,herbaceous_wetland,grassland,0.041200000792741776,0.025299999862909317,-0.01590000092983246,none
123,B,herbaceous_wetland,cropland,0.041600000113248825,0.017400000244379044,-0.02419999986886978,attenuation
123,B,herbaceous_wetland,built_up,0.007699999958276749,0.00279999990016222,-0.004900000058114529,none
123,B,herbaceous_wetland,bare_sparse_vegetation,0.01850000023841858,0.011599999852478504,-0.006900000385940075,none
123,B,herbaceous_wetland,permanent_water,0.08879999816417694,0.057500001043081284,-0.03129999712109566,attenuation
123,B,herbaceous_wetland,snow_and_ice,0.012600000016391277,0.003100000089034438,-0.009499999694526196,none
123,B,herbaceous_wetland,moss_lichen,0.062300000339746475,0.023800000548362732,-0.03849999979138374,attenuation
123,B,moss_lichen,tree_cover,0.00860000029206276,0.004800000227987766,-0.003800000064074993,none
123,B,moss_lichen,shrubland,0.013799999840557575,0.004399999976158142,-0.009399999864399433,none
123,B,moss_lichen,grassland,0.005100000184029341,0.006300000008195639,0.001199999824166298,none
123,B,moss_lichen,cropland,0.0,0.0,0.0,none
123,B,moss_lichen,built_up,0.0,0.0,0.0,none
123,B,moss_lichen,bare_sparse_vegetation,0.006000000052154064,0.0020000000949949026,-0.003999999724328518,none
123,B,moss_lichen,permanent_water,0.00860000029206276,0.0008999999845400453,-0.007700000423938036,none
123,B,moss_lichen,snow_and_ice,0.020099999383091927,0.004000000189989805,-0.016099998727440834,none
123,B,moss_lichen,herbaceous_wetland,0.046799998730421066,0.02160000056028366,-0.025199998170137405,attenuation
123,C,tree_cover,shrubland,0.16590000689029694,0.22509999573230743,0.0591999888420105,amplification
123,C,tree_cover,grassland,0.032999999821186066,0.017799999564886093,-0.015200000256299973,none
123,C,tree_cover,cropland,0.025699999183416367,0.03220000118017197,0.0065000019967556,none
123,C,tree_cover,built_up,0.043800000101327896,0.054999999701976776,0.01119999960064888,none
123,C,tree_cover,bare_sparse_vegetation,0.02290000021457672,0.020899999886751175,-0.0020000003278255463,none
123,C,tree_cover,permanent_water,0.007699999958276749,0.004000000189989805,-0.0036999997682869434,none
123,C,tree_cover,snow_and_ice,0.004100000020116568,0.0044999998062849045,0.00039999978616833687,none
123,C,tree_cover,herbaceous_wetland,0.012900000438094139,0.01679999940097332,0.003899998962879181,none
123,C,tree_cover,moss_lichen,0.016599999740719795,0.030700000002980232,0.014100000262260437,none
123,C,shrubland,tree_cover,0.18060000240802765,0.15080000460147858,-0.029799997806549072,attenuation
123,C,shrubland,grassland,0.11680000275373459,0.06270000338554382,-0.054099999368190765,attenuation
123,C,shrubland,cropland,0.07559999823570251,0.08980000019073486,0.014200001955032349,persistence
123,C,shrubland,built_up,0.03700000047683716,0.046799998730421066,0.009799998253583908,none
